No,Provinsi,Kabupaten/Kota,Kecamatan,Desa / Kelurahan
177,Jawa Timur,Pamekasan,Mulyorejo,Desa Harmoni
178,Jawa Timur,Sumenep,Sawahan,Kelurahan Mawar
179,Jawa Timur,Pacitan,Genteng,Desa Melati
180,Jawa Timur,Bondowoso,Tegalsari,Kelurahan Maju
181,Jawa Timur,Situbondo,Bubutan,Desa Makmur
182,Jawa Timur,Lumajang,Simokerto,Kelurahan Sejahtera
183,Jawa Timur,Jombang,Pabean Cantian,Desa Sentosa
184,Jawa Timur,Nganjuk,Semampir,Kelurahan Bahagia
185,Jawa Timur,Batu,Krembangan,Desa Jaya
186,Jawa Timur,Surabaya,Bulak,Kelurahan Sari
187,Jawa Timur,Malang,Asemrowo,Desa Mulya
188,Jawa Timur,Banyuwangi,Benowo,Kelurahan Indah
189,Jawa Timur,Jember,Lakarsantri,Desa Asri
190,Jawa Timur,Sidoarjo,Sambikerep,Kelurahan Permai
191,Jawa Timur,Gresik,Tandes,Desa Subur
192,Jawa Timur,Mojokerto,Pakal,Kelurahan Tenteram
193,Jawa Timur,Pasuruan,Dukuh Pakis,Desa Damai
194,Jawa Timur,Probolinggo,Gayungan,Kelurahan Raya
195,Jawa Timur,Kediri,Wonocolo,Desa Agung
196,Jawa Timur,Blitar,Wonokromo,Kelurahan Bersih
197,Jawa Timur,Tulungagung,Karangpilang,Desa Harmoni
198,Jawa Timur,Trenggalek,Jambangan,Kelurahan Mawar
199,Jawa Timur,Ponorogo,Wiyung,Desa Melati
200,Jawa Timur,Madiun,Kota,Kelurahan Maju
201,Jawa Timur,Magetan,Utara,Desa Makmur
202,Jawa Timur,Ngawi,Selatan,Kelurahan Sejahtera
203,Jawa Timur,Bojonegoro,Timur,Desa Sentosa
204,Jawa Timur,Tuban,Barat,Kelurahan Bahagia
205,Jawa Timur,Lamongan,Tengah,Desa Jaya
206,Jawa Timur,Bangkalan,Pusat,Kelurahan Sari
207,Jawa Timur,Sampang,Kraton,Desa Mulya
208,Jawa Timur,Pamekasan,Sukun,Kelurahan Indah
209,Jawa Timur,Sumenep,Lowokwaru,Desa Asri
210,Jawa Timur,Pacitan,Klojen,Kelurahan Permai
211,Jawa Timur,Bondowoso,Blimbing,Desa Subur
212,Jawa Timur,Situbondo,Kedungkandang,Kelurahan Tenteram
213,Jawa Timur,Lumajang,Kenjeran,Desa Damai
214,Jawa Timur,Jombang,Gubeng,Kelurahan Raya
215,Jawa Timur,Nganjuk,Rungkut,Desa Agung
216,Jawa Timur,Batu,Sukolilo,Kelurahan Bersih
217,Jawa Timur,Surabaya,Mulyorejo,Desa Harmoni
218,Jawa Timur,Malang,Sawahan,Kelurahan Mawar
219,Jawa Timur,Banyuwangi,Genteng,Desa Melati
220,Jawa Timur,Jember,Tegalsari,Kelurahan Maju
221,Jawa Timur,Sidoarjo,Bubutan,Desa Makmur
222,Jawa Timur,Gresik,Simokerto,Kelurahan Sejahtera
223,Jawa Timur,Mojokerto,Pabean Cantian,Desa Sentosa
224,Jawa Timur,Pasuruan,Semampir,Kelurahan Bahagia
225,Jawa Timur,Probolinggo,Krembangan,Desa Jaya
226,Jawa Timur,Kediri,Bulak,Kelurahan Sari
227,Jawa Timur,Blitar,Asemrowo,Desa Mulya
228,Jawa Timur,Tulungagung,Benowo,Kelurahan Indah
229,Jawa Timur,Trenggalek,Lakarsantri,Desa Asri
230,Jawa Timur,Ponorogo,Sambikerep,Kelurahan Permai
231,Jawa Timur,Madiun,Tandes,Desa Subur
232,Jawa Timur,Magetan,Pakal,Kelurahan Tenteram
233,Jawa Timur,Ngawi,Dukuh Pakis,Desa Damai
234,Jawa Timur,Bojonegoro,Gayungan,Kelurahan Raya
235,Jawa Timur,Tuban,Wonocolo,Desa Agung
236,Jawa Timur,Lamongan,Wonokromo,Kelurahan Bersih
237,Jawa Timur,Bangkalan,Karangpilang,Desa Harmoni
238,Jawa Timur,Sampang,Jambangan,Kelurahan Mawar
239,Jawa Timur,Pamekasan,Wiyung,Desa Melati
240,Jawa Timur,Sumenep,Kota,Kelurahan Maju
241,Jawa Timur,Pacitan,Utara,Desa Makmur
242,Jawa Timur,Bondowoso,Selatan,Kelurahan Sejahtera
243,Jawa Timur,Situbondo,Timur,Desa Sentosa
244,Jawa Timur,Lumajang,Barat,Kelurahan Bahagia
245,Jawa Timur,Jombang,Tengah,Desa Jaya
246,Jawa Timur,Nganjuk,Pusat,Kelurahan Sari
247,Jawa Timur,Batu,Kraton,Desa Mulya
248,Jawa Timur,Surabaya,Sukun,Kelurahan Indah
249,Jawa Timur,Malang,Lowokwaru,Desa Asri
250,Jawa Timur,Banyuwangi,Klojen,Kelurahan Permai
251,Jawa Timur,Jember,Blimbing,Desa Subur
252,Jawa Timur,Sidoarjo,Kedungkandang,Kelurahan Tenteram
253,Jawa Timur,Gresik,Kenjeran,Desa Damai
254,Jawa Timur,Mojokerto,Gubeng,Kelurahan Raya
255,Jawa Timur,Pasuruan,Rungkut,Desa Agung
256,Jawa Timur,Probolinggo,Sukolilo,Kelurahan Bersih
257,Jawa Timur,Kediri,Mulyorejo,Desa Harmoni
258,Jawa Timur,Blitar,Sawahan,Kelurahan Mawar
259,Jawa Timur,Tulungagung,Genteng,Desa Melati
260,Jawa Timur,Trenggalek,Tegalsari,Kelurahan Maju
261,Jawa Timur,Ponorogo,Bubutan,Desa Makmur
262,Jawa Timur,Madiun,Simokerto,Kelurahan Sejahtera
263,Jawa Timur,Magetan,Pabean Cantian,Desa Sentosa
264,Jawa Timur,Ngawi,Semampir,Kelurahan Bahagia
265,Jawa Timur,Bojonegoro,Krembangan,Desa Jaya
266,Jawa Timur,Tuban,Bulak,Kelurahan Sari
267,Jawa Timur,Lamongan,Asemrowo,Desa Mulya
268,Jawa Timur,Bangkalan,Benowo,Kelurahan Indah
269,Jawa Timur,Sampang,Lakarsantri,Desa Asri
270,Jawa Timur,Pamekasan,Sambikerep,Kelurahan Permai
271,Jawa Timur,Sumenep,Tandes,Desa Subur
272,Jawa Timur,Pacitan,Pakal,Kelurahan Tenteram
273,Jawa Timur,Bondowoso,Dukuh Pakis,Desa Damai
274,Jawa Timur,Situbondo,Gayungan,Kelurahan Raya
275,Jawa Timur,Lumajang,Wonocolo,Desa Agung
276,Jawa Timur,Jombang,Wonokromo,Kelurahan Bersih
277,Jawa Timur,Nganjuk,Karangpilang,Desa Harmoni
278,Jawa Timur,Batu,Jambangan,Kelurahan Mawar
279,Jawa Timur,Surabaya,Wiyung,Desa Melati
280,Jawa Timur,Malang,Kota,Kelurahan Maju
281,Jawa Timur,Banyuwangi,Utara,Desa Makmur
282,Jawa Timur,Jember,Selatan,Kelurahan Sejahtera
283,Jawa Timur,Sidoarjo,Timur,Desa Sentosa
284,Jawa Timur,Gresik,Barat,Kelurahan Bahagia
285,Jawa Timur,Mojokerto,Tengah,Desa Jaya
286,Jawa Timur,Pasuruan,Pusat,Kelurahan Sari
287,Jawa Timur,Probolinggo,Kraton,Desa Mulya
288,Jawa Timur,Kediri,Sukun,Kelurahan Indah
289,Jawa Timur,Blitar,Lowokwaru,Desa Asri
290,Jawa Timur,Tulungagung,Klojen,Kelurahan Permai
291,Jawa Timur,Trenggalek,Blimbing,Desa Subur
292,Jawa Timur,Ponorogo,Kedungkandang,Kelurahan Tenteram
293,Jawa Timur,Madiun,Kenjeran,Desa Damai
294,Jawa Timur,Magetan,Gubeng,Kelurahan Raya
295,Jawa Timur,Ngawi,Rungkut,Desa Agung
296,Jawa Timur,Bojonegoro,Sukolilo,Kelurahan Bersih
297,Jawa Timur,Tuban,Mulyorejo,Desa Harmoni
298,Jawa Timur,Lamongan,Sawahan,Kelurahan Mawar
299,Jawa Timur,Bangkalan,Genteng,Desa Melati
300,Jawa Timur,Sampang,Tegalsari,Kelurahan Maju
301,Jawa Timur,Pamekasan,Bubutan,Desa Makmur
302,Jawa Timur,Sumenep,Simokerto,Kelurahan Sejahtera
303,Jawa Timur,Pacitan,Pabean Cantian,Desa Sentosa
304,Jawa Timur,Bondowoso,Semampir,Kelurahan Bahagia
305,Jawa Timur,Situbondo,Krembangan,Desa Jaya
306,Jawa Timur,Lumajang,Bulak,Kelurahan Sari
307,Jawa Timur,Jombang,Asemrowo,Desa Mulya
308,Jawa Timur,Nganjuk,Benowo,Kelurahan Indah
309,Jawa Timur,Batu,Lakarsantri,Desa Asri
310,Jawa Timur,Surabaya,Sambikerep,Kelurahan Permai
311,Jawa Timur,Malang,Tandes,Desa Subur
312,Jawa Timur,Banyuwangi,Pakal,Kelurahan Tenteram
313,Jawa Timur,Jember,Dukuh Pakis,Desa Damai
314,Jawa Timur,Sidoarjo,Gayungan,Kelurahan Raya
315,Jawa Timur,Gresik,Wonocolo,Desa Agung
316,Jawa Timur,Mojokerto,Wonokromo,Kelurahan Bersih
317,Jawa Timur,Pasuruan,Karangpilang,Desa Harmoni
318,Jawa Timur,Probolinggo,Jambangan,Kelurahan Mawar
319,Jawa Timur,Kediri,Wiyung,Desa Melati
320,Jawa Timur,Blitar,Kota,Kelurahan Maju
321,Jawa Timur,Tulungagung,Utara,Desa Makmur
322,Jawa Timur,Trenggalek,Selatan,Kelurahan Sejahtera
323,Jawa Timur,Ponorogo,Timur,Desa Sentosa
324,Jawa Timur,Madiun,Barat,Kelurahan Bahagia
325,Jawa Timur,Magetan,Tengah,Desa Jaya
326,Jawa Timur,Ngawi,Pusat,Kelurahan Sari
327,Jawa Timur,Bojonegoro,Kraton,Desa Mulya
328,Jawa Timur,Tuban,Sukun,Kelurahan Indah
329,Jawa Timur,Lamongan,Lowokwaru,Desa Asri
330,Jawa Timur,Bangkalan,Klojen,Kelurahan Permai
331,Jawa Timur,Sampang,Blimbing,Desa Subur
332,Jawa Timur,Pamekasan,Kedungkandang,Kelurahan Tenteram
333,Jawa Timur,Sumenep,Kenjeran,Desa Damai
334,Jawa Timur,Pacitan,Gubeng,Kelurahan Raya
335,Jawa Timur,Bondowoso,Rungkut,Desa Agung
336,Jawa Timur,Situbondo,Sukolilo,Kelurahan Bersih
337,Jawa Timur,Lumajang,Mulyorejo,Desa Harmoni
338,Jawa Timur,Jombang,Sawahan,Kelurahan Mawar
339,Jawa Timur,Nganjuk,Genteng,Desa Melati
340,Jawa Timur,Batu,Tegalsari,Kelurahan Maju
341,Jawa Timur,Surabaya,Bubutan,Desa Makmur
342,Jawa Timur,Malang,Simokerto,Kelurahan Sejahtera
343,Jawa Timur,Banyuwangi,Pabean Cantian,Desa Sentosa
344,Jawa Timur,Jember,Semampir,Kelurahan Bahagia
345,Jawa Timur,Sidoarjo,Krembangan,Desa Jaya
346,Jawa Timur,Gresik,Bulak,Kelurahan Sari
347,Jawa Timur,Mojokerto,Asemrowo,Desa Mulya
348,Jawa Timur,Pasuruan,Benowo,Kelurahan Indah
349,Jawa Timur,Probolinggo,Lakarsantri,Desa Asri
350,Jawa Timur,Kediri,Sambikerep,Kelurahan Permai
351,Jawa Timur,Blitar,Tandes,Desa Subur
352,Jawa Timur,Tulungagung,Pakal,Kelurahan Tenteram
353,Jawa Timur,Trenggalek,Dukuh Pakis,Desa Damai
354,Jawa Timur,Ponorogo,Gayungan,Kelurahan Raya
355,Jawa Timur,Madiun,Wonocolo,Desa Agung
356,Jawa Timur,Magetan,Wonokromo,Kelurahan Bersih
357,Jawa Timur,Ngawi,Karangpilang,Desa Harmoni
358,Jawa Timur,Bojonegoro,Jambangan,Kelurahan Mawar
359,Jawa Timur,Tuban,Wiyung,Desa Melati
360,Jawa Timur,Lamongan,Kota,Kelurahan Maju
361,Jawa Timur,Bangkalan,Utara,Desa Makmur
362,Jawa Timur,Sampang,Selatan,Kelurahan Sejahtera
363,Jawa Timur,Pamekasan,Timur,Desa Sentosa
364,Jawa Timur,Sumenep,Barat,Kelurahan Bahagia
365,Jawa Timur,Pacitan,Tengah,Desa Jaya
366,Jawa Timur,Bondowoso,Pusat,Kelurahan Sari
367,Jawa Timur,Situbondo,Kraton,Desa Mulya
368,Jawa Timur,Lumajang,Sukun,Kelurahan Indah
369,Jawa Timur,Jombang,Lowokwaru,Desa Asri
370,Jawa Timur,Nganjuk,Klojen,Kelurahan Permai
371,Jawa Timur,Batu,Blimbing,Desa Subur
372,Jawa Timur,Surabaya,Kedungkandang,Kelurahan Tenteram
373,Jawa Timur,Malang,Kenjeran,Desa Damai
374,Jawa Timur,Banyuwangi,Gubeng,Kelurahan Raya
375,Jawa Timur,Jember,Rungkut,Desa Agung
376,Jawa Timur,Sidoarjo,Sukolilo,Kelurahan Bersih
377,Jawa Timur,Gresik,Mulyorejo,Desa Harmoni
378,Jawa Timur,Mojokerto,Sawahan,Kelurahan Mawar
379,Jawa Timur,Pasuruan,Genteng,Desa Melati
380,Jawa Timur,Probolinggo,Tegalsari,Kelurahan Maju
381,Jawa Timur,Kediri,Bubutan,Desa Makmur
382,Jawa Timur,Blitar,Simokerto,Kelurahan Sejahtera
383,Jawa Timur,Tulungagung,Pabean Cantian,Desa Sentosa
384,Jawa Timur,Trenggalek,Semampir,Kelurahan Bahagia
385,Jawa Timur,Ponorogo,Krembangan,Desa Jaya
386,Jawa Timur,Madiun,Bulak,Kelurahan Sari
387,Jawa Timur,Magetan,Asemrowo,Desa Mulya
388,Jawa Timur,Ngawi,Benowo,Kelurahan Indah
389,Jawa Timur,Bojonegoro,Lakarsantri,Desa Asri
390,Jawa Timur,Tuban,Sambikerep,Kelurahan Permai
391,Jawa Timur,Lamongan,Tandes,Desa Subur
392,Jawa Timur,Bangkalan,Pakal,Kelurahan Tenteram
393,Jawa Timur,Sampang,Dukuh Pakis,Desa Damai
394,Jawa Timur,Pamekasan,Gayungan,Kelurahan Raya
395,Jawa Timur,Sumenep,Wonocolo,Desa Agung
396,Jawa Timur,Pacitan,Wonokromo,Kelurahan Bersih
397,Jawa Timur,Bondowoso,Karangpilang,Desa Harmoni
398,Jawa Timur,Situbondo,Jambangan,Kelurahan Mawar
399,Jawa Timur,Lumajang,Wiyung,Desa Melati
400,Jawa Timur,Jombang,Kota,Kelurahan Maju
401,Jawa Timur,Nganjuk,Utara,Desa Makmur
402,Jawa Timur,Batu,Selatan,Kelurahan Sejahtera
403,Jawa Timur,Surabaya,Timur,Desa Sentosa
404,Jawa Timur,Malang,Barat,Kelurahan Bahagia
405,Jawa Timur,Banyuwangi,Tengah,Desa Jaya
406,Jawa Timur,Jember,Pusat,Kelurahan Sari
407,Jawa Timur,Sidoarjo,Kraton,Desa Mulya
408,Jawa Timur,Gresik,Sukun,Kelurahan Indah
409,Jawa Timur,Mojokerto,Lowokwaru,Desa Asri
410,Jawa Timur,Pasuruan,Klojen,Kelurahan Permai
411,Jawa Timur,Probolinggo,Blimbing,Desa Subur
412,Jawa Timur,Kediri,Kedungkandang,Kelurahan Tenteram
413,Jawa Timur,Blitar,Kenjeran,Desa Damai
414,Jawa Timur,Tulungagung,Gubeng,Kelurahan Raya
415,Jawa Timur,Trenggalek,Rungkut,Desa Agung
416,Jawa Timur,Ponorogo,Sukolilo,Kelurahan Bersih
417,Jawa Timur,Madiun,Mulyorejo,Desa Harmoni
418,Jawa Timur,Magetan,Sawahan,Kelurahan Mawar
419,Jawa Timur,Ngawi,Genteng,Desa Melati
420,Jawa Timur,Bojonegoro,Tegalsari,Kelurahan Maju
421,Jawa Timur,Tuban,Bubutan,Desa Makmur
422,Jawa Timur,Lamongan,Simokerto,Kelurahan Sejahtera
423,Jawa Timur,Bangkalan,Pabean Cantian,Desa Sentosa
424,Jawa Timur,Sampang,Semampir,Kelurahan Bahagia
425,Jawa Timur,Pamekasan,Krembangan,Desa Jaya
426,Jawa Timur,Sumenep,Bulak,Kelurahan Sari
427,Jawa Timur,Pacitan,Asemrowo,Desa Mulya
428,Jawa Timur,Bondowoso,Benowo,Kelurahan Indah
429,Jawa Timur,Situbondo,Lakarsantri,Desa Asri
430,Jawa Timur,Lumajang,Sambikerep,Kelurahan Permai
431,Jawa Timur,Jombang,Tandes,Desa Subur
432,Jawa Timur,Nganjuk,Pakal,Kelurahan Tenteram
433,Jawa Timur,Batu,Dukuh Pakis,Desa Damai
434,Jawa Timur,Surabaya,Gayungan,Kelurahan Raya
435,Jawa Timur,Malang,Wonocolo,Desa Agung
436,Jawa Timur,Banyuwangi,Wonokromo,Kelurahan Bersih
437,Jawa Timur,Jember,Karangpilang,Desa Harmoni
438,Jawa Timur,Sidoarjo,Jambangan,Kelurahan Mawar
439,Jawa Timur,Gresik,Wiyung,Desa Melati
440,Jawa Timur,Mojokerto,Kota,Kelurahan Maju
441,Jawa Timur,Pasuruan,Utara,Desa Makmur
442,Jawa Timur,Probolinggo,Selatan,Kelurahan Sejahtera
443,Jawa Timur,Kediri,Timur,Desa Sentosa
