No,Provinsi,Kabupaten/Kota,Kecamatan,Desa / Kelurahan
164,Jawa Timur,Blitar,Timur,Kelurahan Indah
165,Jawa Timur,Magetan,Barat,Desa Sentosa
166,Jawa Timur,Madiun,Selatan,Desa Mulya
167,Jawa Timur,Trenggalek,Selatan,Kelurahan Tenteram
168,Jawa Timur,Bojonegoro,Kepanjen,Kelurahan Maju
169,Jawa Timur,Tulungagung,Singosari,Desa Makmur
170,Jawa Timur,Pacitan,Wajak,Kelurahan Sari
171,Jawa Timur,Blitar,Kota,Kelurahan Sari
172,Jawa Timur,Kediri,Kepanjen,Desa Makmur
173,Jawa Timur,Mojokerto,Selatan,Kelurahan Sari
174,Jawa Timur,Ngawi,Tumpang,Desa Makmur
175,Jawa Timur,Blitar,Selatan,Desa Sentosa
176,Jawa Timur,Tulungagung,Pakis,Kelurahan Indah
177,Jawa Timur,Blitar,Tumpang,Kelurahan Sari
178,Jawa Timur,Jombang,Tengah,Kelurahan Permai
179,Jawa Timur,Blitar,Timur,Desa Damai
180,Jawa Timur,Blitar,Tumpang,Desa Asri
181,Jawa Timur,Nganjuk,Dau,Desa Subur
182,Jawa Timur,Blitar,Utara,Kelurahan Maju
183,Jawa Timur,Blitar,Lawang,Kelurahan Tenteram
184,Jawa Timur,Ponorogo,Dau,Desa Mulya
185,Jawa Timur,Tulungagung,Pakis,Desa Sentosa
186,Jawa Timur,Blitar,Dau,Desa Damai
187,Jawa Timur,Tulungagung,Singosari,Desa Subur
188,Jawa Timur,Tulungagung,Pakis,Kelurahan Indah
189,Jawa Timur,Tulungagung,Timur,Desa Jaya
190,Jawa Timur,Tulungagung,Singosari,Kelurahan Indah
191,Jawa Timur,Tulungagung,Barat,Kelurahan Bahagia
192,Jawa Timur,Bojonegoro,Lawang,Kelurahan Maju
193,Jawa Timur,Kediri,Selatan,Kelurahan Indah
194,Jawa Timur,Kediri,Utara,Kelurahan Bahagia
195,Jawa Timur,Kediri,Barat,Desa Mulya
196,Jawa Timur,Sidoarjo,Timur,Desa Asri
197,Jawa Timur,Madiun,Singosari,Desa Jaya
198,Jawa Timur,Blitar,Dau,Desa Asri
199,Jawa Timur,Ngawi,Dau,Kelurahan Bahagia
200,Jawa Timur,Kediri,Wajak,Desa Subur
201,Jawa Timur,Jombang,Timur,Desa Jaya
202,Jawa Timur,Ngawi,Lawang,Desa Mulya
203,Jawa Timur,Ponorogo,Utara,Kelurahan Maju
204,Jawa Timur,Ngawi,Lawang,Desa Asri
205,Jawa Timur,Nganjuk,Timur,Kelurahan Sari
206,Jawa Timur,Kediri,Tengah,Kelurahan Bahagia
207,Jawa Timur,Sidoarjo,Pakis,Desa Damai
208,Jawa Timur,Kediri,Lawang,Kelurahan Bahagia
209,Jawa Timur,Kediri,Utara,Desa Jaya
210,Jawa Timur,Kediri,Tengah,Desa Sentosa
211,Jawa Timur,Tulungagung,Kota,Desa Jaya
212,Jawa Timur,Pacitan,Kota,Kelurahan Bahagia
213,Jawa Timur,Ngawi,Tumpang,Kelurahan Bahagia
214,Jawa Timur,Tulungagung,Selatan,Desa Mulya
215,Jawa Timur,Tulungagung,Selatan,Kelurahan Sari
216,Jawa Timur,Blitar,Lawang,Kelurahan Tenteram
217,Jawa Timur,Kediri,Tumpang,Kelurahan Sejahtera
218,Jawa Timur,Nganjuk,Lawang,Kelurahan Tenteram
219,Jawa Timur,Blitar,Lawang,Kelurahan Indah
220,Jawa Timur,Blitar,Wajak,Kelurahan Permai
221,Jawa Timur,Blitar,Timur,Kelurahan Maju
222,Jawa Timur,Ponorogo,Lawang,Desa Jaya
223,Jawa Timur,Madiun,Tumpang,Kelurahan Indah
224,Jawa Timur,Ponorogo,Barat,Desa Jaya
225,Jawa Timur,Madiun,Tengah,Kelurahan Maju
226,Jawa Timur,Madiun,Barat,Kelurahan Permai
227,Jawa Timur,Trenggalek,Kota,Kelurahan Maju
228,Jawa Timur,Mojokerto,Utara,Desa Damai
229,Jawa Timur,Blitar,Tumpang,Kelurahan Sari
230,Jawa Timur,Tulungagung,Dau,Kelurahan Sejahtera
231,Jawa Timur,Madiun,Selatan,Desa Makmur
232,Jawa Timur,Blitar,Selatan,Desa Asri
233,Jawa Timur,Kediri,Tumpang,Kelurahan Sari
234,Jawa Timur,Ngawi,Utara,Desa Asri
235,Jawa Timur,Madiun,Tengah,Kelurahan Sari
236,Jawa Timur,Kediri,Tengah,Desa Asri
237,Jawa Timur,Kediri,Timur,Desa Jaya
238,Jawa Timur,Tulungagung,Tumpang,Kelurahan Sari
239,Jawa Timur,Kediri,Selatan,Desa Damai
240,Jawa Timur,Jombang,Selatan,Desa Makmur
241,Jawa Timur,Madiun,Utara,Kelurahan Permai
242,Jawa Timur,Ngawi,Dau,Kelurahan Sari
243,Jawa Timur,Tulungagung,Lawang,Kelurahan Sari
244,Jawa Timur,Blitar,Kepanjen,Desa Damai
245,Jawa Timur,Magetan,Lawang,Desa Jaya
246,Jawa Timur,Mojokerto,Timur,Kelurahan Sari
247,Jawa Timur,Tulungagung,Utara,Desa Sentosa
248,Jawa Timur,Jombang,Pakis,Desa Sentosa
249,Jawa Timur,Mojokerto,Kepanjen,Desa Jaya
250,Jawa Timur,Kediri,Utara,Desa Makmur
251,Jawa Timur,Tulungagung,Tumpang,Kelurahan Maju
252,Jawa Timur,Blitar,Lawang,Kelurahan Bahagia
253,Jawa Timur,Bojonegoro,Kota,Kelurahan Maju
254,Jawa Timur,Blitar,Kepanjen,Desa Asri
255,Jawa Timur,Ponorogo,Timur,Kelurahan Sari
256,Jawa Timur,Mojokerto,Lawang,Desa Sentosa
257,Jawa Timur,Madiun,Tumpang,Kelurahan Maju
258,Jawa Timur,Blitar,Kota,Desa Asri
259,Jawa Timur,Pacitan,Pakis,Desa Sentosa
260,Jawa Timur,Blitar,Barat,Desa Jaya
261,Jawa Timur,Blitar,Kota,Kelurahan Sejahtera
262,Jawa Timur,Blitar,Barat,Desa Subur
263,Jawa Timur,Kediri,Kepanjen,Kelurahan Bahagia
264,Jawa Timur,Blitar,Kota,Kelurahan Sejahtera
265,Jawa Timur,Pacitan,Tumpang,Desa Mulya
266,Jawa Timur,Blitar,Wajak,Desa Mulya
267,Jawa Timur,Blitar,Lawang,Kelurahan Sari
268,Jawa Timur,Bojonegoro,Kepanjen,Desa Sentosa
269,Jawa Timur,Tulungagung,Lawang,Kelurahan Sari
270,Jawa Timur,Tulungagung,Tumpang,Kelurahan Sari
271,Jawa Timur,Bojonegoro,Dau,Desa Subur
272,Jawa Timur,Blitar,Singosari,Kelurahan Sari
273,Jawa Timur,Kediri,Lawang,Kelurahan Indah
274,Jawa Timur,Ponorogo,Timur,Desa Damai
275,Jawa Timur,Tulungagung,Lawang,Desa Mulya
276,Jawa Timur,Ngawi,Singosari,Kelurahan Sari
277,Jawa Timur,Blitar,Timur,Desa Subur
278,Jawa Timur,Nganjuk,Timur,Desa Damai
279,Jawa Timur,Madiun,Wajak,Desa Mulya
280,Jawa Timur,Mojokerto,Tengah,Kelurahan Maju
281,Jawa Timur,Mojokerto,Tumpang,Desa Mulya
282,Jawa Timur,Tulungagung,Timur,Desa Asri
283,Jawa Timur,Mojokerto,Timur,Desa Damai
284,Jawa Timur,Tulungagung,Timur,Kelurahan Indah
285,Jawa Timur,Madiun,Wajak,Desa Asri
286,Jawa Timur,Jombang,Timur,Desa Jaya
287,Jawa Timur,Blitar,Utara,Desa Jaya
288,Jawa Timur,Ponorogo,Barat,Desa Asri
289,Jawa Timur,Tulungagung,Selatan,Desa Asri
290,Jawa Timur,Tulungagung,Timur,Desa Mulya
291,Jawa Timur,Ngawi,Tengah,Kelurahan Bahagia
292,Jawa Timur,Kediri,Singosari,Desa Sentosa
293,Jawa Timur,Pacitan,Barat,Desa Damai
294,Jawa Timur,Blitar,Barat,Kelurahan Sejahtera
295,Jawa Timur,Blitar,Selatan,Desa Damai
296,Jawa Timur,Blitar,Utara,Kelurahan Sejahtera
297,Jawa Timur,Pacitan,Kepanjen,Kelurahan Maju
298,Jawa Timur,Tulungagung,Dau,Desa Sentosa
299,Jawa Timur,Trenggalek,Singosari,Kelurahan Sejahtera
300,Jawa Timur,Jombang,Utara,Desa Jaya
301,Jawa Timur,Kediri,Lawang,Kelurahan Indah
302,Jawa Timur,Ngawi,Kepanjen,Kelurahan Sejahtera
303,Jawa Timur,Kediri,Pakis,Kelurahan Sejahtera
304,Jawa Timur,Ngawi,Kepanjen,Kelurahan Tenteram
305,Jawa Timur,Kediri,Kota,Desa Asri
306,Jawa Timur,Nganjuk,Kota,Desa Subur
307,Jawa Timur,Blitar,Barat,Desa Sentosa
308,Jawa Timur,Trenggalek,Utara,Desa Mulya
309,Jawa Timur,Tulungagung,Lawang,Kelurahan Sejahtera
310,Jawa Timur,Blitar,Timur,Kelurahan Indah
311,Jawa Timur,Nganjuk,Kota,Kelurahan Sejahtera
312,Jawa Timur,Blitar,Singosari,Desa Sentosa
313,Jawa Timur,Tulungagung,Dau,Desa Sentosa
314,Jawa Timur,Blitar,Tengah,Kelurahan Maju
315,Jawa Timur,Tulungagung,Utara,Desa Subur
316,Jawa Timur,Nganjuk,Timur,Desa Asri
317,Jawa Timur,Nganjuk,Singosari,Kelurahan Tenteram
318,Jawa Timur,Kediri,Pakis,Desa Makmur
319,Jawa Timur,Kediri,Lawang,Desa Damai
320,Jawa Timur,Mojokerto,Tengah,Kelurahan Indah
321,Jawa Timur,Tulungagung,Dau,Kelurahan Tenteram
322,Jawa Timur,Tulungagung,Utara,Desa Subur
323,Jawa Timur,Kediri,Dau,Kelurahan Bahagia
324,Jawa Timur,Tulungagung,Wajak,Desa Jaya
325,Jawa Timur,Nganjuk,Tumpang,Kelurahan Sari
326,Jawa Timur,Madiun,Kepanjen,Desa Damai
327,Jawa Timur,Madiun,Kepanjen,Desa Makmur
328,Jawa Timur,Sidoarjo,Barat,Kelurahan Sejahtera
329,Jawa Timur,Tulungagung,Kota,Desa Makmur
330,Jawa Timur,Ponorogo,Lawang,Desa Damai
331,Jawa Timur,Tulungagung,Barat,Desa Sentosa
332,Jawa Timur,Tulungagung,Dau,Desa Damai
333,Jawa Timur,Jombang,Singosari,Kelurahan Bahagia
334,Jawa Timur,Blitar,Utara,Desa Jaya
335,Jawa Timur,Ponorogo,Utara,Kelurahan Maju
336,Jawa Timur,Blitar,Kota,Kelurahan Bahagia
337,Jawa Timur,Kediri,Wajak,Desa Jaya
338,Jawa Timur,Tulungagung,Tengah,Desa Mulya
339,Jawa Timur,Kediri,Singosari,Desa Jaya
340,Jawa Timur,Blitar,Tengah,Kelurahan Bahagia
341,Jawa Timur,Kediri,Kepanjen,Kelurahan Indah
342,Jawa Timur,Madiun,Timur,Kelurahan Maju
343,Jawa Timur,Madiun,Dau,Desa Jaya
344,Jawa Timur,Ngawi,Lawang,Desa Jaya
345,Jawa Timur,Blitar,Kepanjen,Desa Asri
346,Jawa Timur,Tulungagung,Selatan,Desa Makmur
347,Jawa Timur,Ngawi,Lawang,Kelurahan Permai
348,Jawa Timur,Tulungagung,Tumpang,Kelurahan Indah
349,Jawa Timur,Tulungagung,Singosari,Kelurahan Sari
350,Jawa Timur,Blitar,Lawang,Kelurahan Bahagia
351,Jawa Timur,Blitar,Kepanjen,Desa Makmur
352,Jawa Timur,Ponorogo,Tumpang,Kelurahan Sejahtera
353,Jawa Timur,Sidoarjo,Timur,Desa Jaya
354,Jawa Timur,Blitar,Tengah,Desa Makmur
355,Jawa Timur,Blitar,Wajak,Desa Damai
356,Jawa Timur,Blitar,Timur,Desa Mulya
357,Jawa Timur,Ngawi,Wajak,Kelurahan Permai
358,Jawa Timur,Kediri,Wajak,Kelurahan Maju
359,Jawa Timur,Kediri,Tumpang,Desa Jaya
360,Jawa Timur,Tulungagung,Timur,Kelurahan Tenteram
361,Jawa Timur,Ngawi,Utara,Desa Mulya
362,Jawa Timur,Trenggalek,Tengah,Kelurahan Sejahtera
363,Jawa Timur,Ponorogo,Utara,Kelurahan Maju
364,Jawa Timur,Ngawi,Kepanjen,Desa Mulya
365,Jawa Timur,Ponorogo,Barat,Desa Asri
366,Jawa Timur,Ponorogo,Tengah,Kelurahan Bahagia
367,Jawa Timur,Blitar,Timur,Desa Makmur
368,Jawa Timur,Kediri,Utara,Kelurahan Sari
369,Jawa Timur,Kediri,Utara,Desa Subur
370,Jawa Timur,Kediri,Lawang,Desa Subur
371,Jawa Timur,Mojokerto,Singosari,Kelurahan Sari
372,Jawa Timur,Magetan,Tumpang,Kelurahan Sari
373,Jawa Timur,Sidoarjo,Singosari,Desa Jaya
374,Jawa Timur,Jombang,Lawang,Kelurahan Permai
375,Jawa Timur,Magetan,Wajak,Desa Damai
376,Jawa Timur,Ponorogo,Lawang,Desa Makmur
377,Jawa Timur,Tulungagung,Pakis,Desa Subur
378,Jawa Timur,Tulungagung,Timur,Desa Asri
379,Jawa Timur,Jombang,Tumpang,Desa Subur
380,Jawa Timur,Kediri,Tengah,Desa Jaya
381,Jawa Timur,Ngawi,Dau,Desa Makmur
382,Jawa Timur,Kediri,Barat,Desa Damai
383,Jawa Timur,Tulungagung,Utara,Desa Mulya
384,Jawa Timur,Nganjuk,Singosari,Kelurahan Indah
385,Jawa Timur,Ngawi,Wajak,Desa Makmur
386,Jawa Timur,Jombang,Kota,Kelurahan Maju
387,Jawa Timur,Blitar,Tengah,Kelurahan Sejahtera
388,Jawa Timur,Jombang,Kota,Desa Asri
389,Jawa Timur,Jombang,Kota,Desa Asri
390,Jawa Timur,Madiun,Singosari,Desa Jaya
391,Jawa Timur,Kediri,Lawang,Kelurahan Tenteram
392,Jawa Timur,Magetan,Kota,Kelurahan Maju
393,Jawa Timur,Blitar,Barat,Kelurahan Sari
394,Jawa Timur,Kediri,Kepanjen,Desa Jaya
395,Jawa Timur,Blitar,Tengah,Kelurahan Tenteram
396,Jawa Timur,Tulungagung,Kota,Kelurahan Tenteram
397,Jawa Timur,Kediri,Tumpang,Kelurahan Maju
398,Jawa Timur,Ngawi,Barat,Kelurahan Sari
399,Jawa Timur,Magetan,Tengah,Kelurahan Sari
400,Jawa Timur,Kediri,Tengah,Kelurahan Bahagia
401,Jawa Timur,Ponorogo,Tumpang,Kelurahan Maju
402,Jawa Timur,Tulungagung,Selatan,Desa Damai
403,Jawa Timur,Ngawi,Timur,Kelurahan Indah
404,Jawa Timur,Jombang,Kepanjen,Kelurahan Indah
405,Jawa Timur,Blitar,Utara,Desa Jaya
406,Jawa Timur,Ponorogo,Selatan,Desa Jaya
407,Jawa Timur,Blitar,Timur,Desa Makmur
408,Jawa Timur,Tulungagung,Tumpang,Desa Asri
409,Jawa Timur,Madiun,Wajak,Kelurahan Maju
410,Jawa Timur,Kediri,Dau,Desa Subur
411,Jawa Timur,Trenggalek,Pakis,Kelurahan Bahagia
412,Jawa Timur,Kediri,Pakis,Kelurahan Sejahtera
413,Jawa Timur,Madiun,Kota,Desa Sentosa
414,Jawa Timur,Blitar,Pakis,Kelurahan Sejahtera
415,Jawa Timur,Tulungagung,Lawang,Desa Asri
416,Jawa Timur,Kediri,Wajak,Desa Sentosa
417,Jawa Timur,Blitar,Barat,Kelurahan Sari
418,Jawa Timur,Blitar,Utara,Kelurahan Maju
419,Jawa Timur,Kediri,Pakis,Desa Subur
420,Jawa Timur,Kediri,Selatan,Kelurahan Tenteram
421,Jawa Timur,Blitar,Kepanjen,Desa Damai
422,Jawa Timur,Tulungagung,Kepanjen,Kelurahan Sari
423,Jawa Timur,Trenggalek,Utara,Desa Subur
424,Jawa Timur,Blitar,Kota,Kelurahan Bahagia
425,Jawa Timur,Kediri,Wajak,Kelurahan Sari
426,Jawa Timur,Kediri,Kepanjen,Desa Sentosa
427,Jawa Timur,Bojonegoro,Kepanjen,Kelurahan Maju
428,Jawa Timur,Kediri,Barat,Kelurahan Sejahtera
429,Jawa Timur,Tulungagung,Dau,Kelurahan Maju
430,Jawa Timur,Ngawi,Wajak,Kelurahan Maju
431,Jawa Timur,Kediri,Singosari,Kelurahan Sari
432,Jawa Timur,Blitar,Barat,Desa Damai
433,Jawa Timur,Ponorogo,Barat,Desa Jaya
434,Jawa Timur,Trenggalek,Dau,Kelurahan Indah
435,Jawa Timur,Blitar,Wajak,Desa Asri
436,Jawa Timur,Mojokerto,Timur,Desa Makmur
437,Jawa Timur,Kediri,Utara,Desa Sentosa
438,Jawa Timur,Blitar,Lawang,Desa Asri
439,Jawa Timur,Blitar,Tumpang,Kelurahan Tenteram
440,Jawa Timur,Madiun,Lawang,Kelurahan Maju
441,Jawa Timur,Jombang,Lawang,Desa Damai
442,Jawa Timur,Tulungagung,Lawang,Desa Damai
443,Jawa Timur,Tulungagung,Timur,Kelurahan Permai
444,Jawa Timur,Blitar,Tumpang,Kelurahan Sari
445,Jawa Timur,Kediri,Tengah,Desa Damai
446,Jawa Timur,Madiun,Singosari,Desa Sentosa
447,Jawa Timur,Madiun,Pakis,Kelurahan Indah
448,Jawa Timur,Nganjuk,Selatan,Desa Makmur
449,Jawa Timur,Kediri,Singosari,Desa Mulya
450,Jawa Timur,Nganjuk,Singosari,Desa Subur
451,Jawa Timur,Blitar,Tengah,Kelurahan Permai
452,Jawa Timur,Kediri,Pakis,Desa Sentosa
453,Jawa Timur,Tulungagung,Lawang,Kelurahan Tenteram
454,Jawa Timur,Blitar,Barat,Kelurahan Maju
455,Jawa Timur,Kediri,Wajak,Desa Subur
456,Jawa Timur,Ngawi,Tengah,Kelurahan Sari
457,Jawa Timur,Jombang,Tumpang,Desa Subur
458,Jawa Timur,Kediri,Singosari,Kelurahan Permai
459,Jawa Timur,Madiun,Utara,Desa Makmur
460,Jawa Timur,Ponorogo,Kepanjen,Desa Sentosa
461,Jawa Timur,Trenggalek,Wajak,Desa Makmur
462,Jawa Timur,Kediri,Wajak,Kelurahan Maju
463,Jawa Timur,Ponorogo,Timur,Desa Asri
464,Jawa Timur,Tulungagung,Timur,Kelurahan Bahagia
465,Jawa Timur,Kediri,Singosari,Desa Sentosa
